name,faculty,group,gpa
Enasukosa Yfi,Cybersec,229,4.52
Ujapocyxe Yfono,Cybersec,243,5.9
Evyjuq Elaza,Reverse,235,9.55
Idus Ehitaji,Forensics,240,5.29
Ytaqysiba Amejok,Cybersec,228,7.81
Ily Ekivohidit,Reverse,257,5.73
Ucibyla Uzaxebage,Pwn,235,4.3
Urivus Elosuwo,Cybersec,238,4.8
Olygi Ufawelazod,Teapotting,248,4.75
Eryz Ubopybutaq,Teapotting,248,4.01
Eloh Anuwuzyg,Teapotting,215,4.58
Oxalaqunu Awehazyco,Reverse,255,4.35
Oved Onuvoca,Reverse,213,7.9
Ysitogig Iporubyp,Teapotting,255,5.32
Ypagowugyx Ebi,Pentest,250,4.19
Azonuby Ifej,Pwn,201,6.6
Ukyhy Ebu,Teapotting,250,8.33
Ojozafira Ugacalom,Reverse,250,5.6
Iqize Avopyw,Pentest,230,7.75
Esyqi Yfibetixys,Cybersec,229,4.89
Yjo Ykemybeki,Pwn,206,8.86
Uxucog Ihyvup,Reverse,225,9.3
Ozisiticyq Ozom,Pwn,258,9.46
Inedu Etozyxy,Forensics,203,7.42
Avexac Avogady,Reverse,213,4.54
Ymu Afy,Cybersec,203,9.8
Amoloka Abykob,Teapotting,235,7.54
Ycugek Emirilam,Teapotting,216,5.88
Ecidyg Uteze,Teapotting,223,4.05
Ijinumor Owefibyb,Forensics,239,9.51
Eduj Ukuse,Cybersec,215,5.58
Ojiqoqinam Etoxez,Reverse,217,9.63
Apice Unovuval,Pentest,213,5.07
Okyboloru Abum,Teapotting,218,4.25
Iwilaf Umo,Pentest,219,6.91
Ycufuwaz Axoqyhew,Teapotting,245,7.57
Ywiqeqalo Eri,Teapotting,255,5.96
Udiqyxuc Osywyw,Forensics,255,4.73
Isolav Igode,Cybersec,222,6.66
Eramoduty Ymopidetin,Pwn,203,8.93
Ixu Ejyto,Pentest,210,5.1
Ugesuwytah Ykawuzefa,Cybersec,241,5.14
Ocucipav Yvo,Pentest,255,9.36
Yvujekeba Ytadiza,Forensics,230,7.67
Edu Esalasu,Pentest,225,6.79
Afazybis Yzecuw,Cybersec,202,7.46
Ejajuxeru Equkukofot,Pwn,237,4.44
Elycim Ujejelomu,Teapotting,241,6.65
Ekyvaka Ykenyp,Cybersec,249,9.9
Usupunex Ylija,Cybersec,231,5.99
Odejoholy Avujisis,Cybersec,249,8.61
Ijet Ekeru,Pentest,217,9.95
Ufyxukyv Etuvopevuk,Pwn,229,6.29
Oci Yqovexawob,Pentest,219,4.39
Usymubepo Ybuza,Forensics,215,4.38
Erera Ixynoneryl,Pentest,233,5.12
Omihyw Asis,Pentest,217,6.77
Efozohu Yqyjopybus,Pentest,217,8.12
Ubiz Yka,Pentest,240,6.45
Ode Ecy,Cybersec,221,5.86
Edewosycyz Yjozanut,Reverse,257,9.85
Enek Amen,Cybersec,203,4.75
Oxowan Yruxex,Forensics,233,4.55
Ohyjec Apyxokoda,Cybersec,218,9.24
Ymyjyc Akycybawuc,Pwn,257,8.68
Ajo Ofetiw,Reverse,244,9.29
Ovyhicop Ylihymax,Reverse,256,8.31
Uhucyca Ifo,Forensics,209,7.92
Urupeza Esazevuj,Pentest,243,5.24
Ydyruwypi Etyvajy,Forensics,226,8.61
Ybyfuzod Ylahacujyb,Pentest,260,5.78
Ivetogasuj Odavovy,Teapotting,244,5.23
Igit Aqezylid,Pwn,212,9.53
Iqydyma Ejewe,Cybersec,234,9.28
Orexityri Opiwyhyz,Reverse,227,4.17
Idic Egimoqaqy,Cybersec,227,5.8
Ysyjitysu Ike,Teapotting,217,8.15
Ykasebige Ycymi,Reverse,247,8.0
Enupokahaf Uwufifuwam,Forensics,249,7.61
Ofibow Ebo,Teapotting,223,5.08
Upomoty Ilem,Pentest,212,6.66
Ilowawe Ozabucat,Pentest,209,4.18
Udyno Yba,Reverse,215,9.23
Yhy Ewyqevudi,Teapotting,203,5.43
Ewi Ojojomazab,Pwn,206,6.06
Ybucytife Udibul,Teapotting,253,7.63
Oqopymax Esaxus,Reverse,231,7.14
Ejecovivit Owymedodam,Teapotting,242,9.82
Epalexa Ydemicyfa,Teapotting,231,8.3
Ymenigiw Ebyxekuv,Pwn,228,5.04
Igenyco Asev,Reverse,234,4.44
Owehufinu Uriku,Reverse,223,5.71
Okyce Ygir,Pentest,239,6.07
Ybuh Ymeletab,Pentest,255,6.78
Izydowez Ixodufiqog,Pentest,208,9.45
Ofewyfadan Irajojo,Pwn,226,4.14
Ipyxacexin Ulota,Teapotting,226,4.91
Yxopum Obogaz,Pentest,205,7.11
Erala Uvujehaq,Pwn,221,8.68
Isyv Yrymugany,Reverse,219,6.37
Ylify Ydapahoxuj,Forensics,229,6.18
Ymajekav Ehujewe,Reverse,243,9.49
Ydusadov Oniqila,Cybersec,254,6.57
Otolodu Aryh,Pentest,251,5.65
Okufyxe Ekuleni,Teapotting,244,8.67
Oxapicy Ugehice,Pentest,256,7.14
Yqi Azicij,Pentest,247,6.35
Akyw Ikih,Cybersec,252,9.66
Yvogyxy Ozyjyhyb,Forensics,234,5.96
Odaroxit Ozo,Forensics,200,7.02
Ypuzamu Adaxu,Teapotting,205,8.1
Ojywuzuc Awokefe,Pentest,250,5.52
Oxozyqedo Ityl,Pentest,219,4.34
Izucunuh Eqecenytur,Forensics,243,8.96
Oro Ebasasec,Teapotting,233,5.73
Uso Exonuzoloq,Reverse,224,4.06
Umama Ehinycerux,Forensics,226,8.77
Ysa Uwokixegaj,Reverse,238,5.31
Uwygazinu Ygymexe,Teapotting,219,8.28
Aky Izoqotagyd,Pwn,257,5.74
Uvuma Amawefaby,Cybersec,253,6.67
Atitef Upuda,Teapotting,220,4.73
Ikyv Ucuha,Forensics,246,6.88
Ocuqy Acoc,Cybersec,256,7.12
Ahyr Yjasyzog,Cybersec,211,8.11
Uxecyrof Omurituv,Forensics,231,5.85
Obymazu Ywiqorisiw,Pwn,257,7.5
Ybutogalaq Uxeki,Teapotting,251,9.2
Ikoditysim Ifesela,Cybersec,241,6.78
Obigaweqos Afuvijisux,Pentest,254,6.03
Ixy Ozid,Pentest,210,5.29
Itovodip Ytuj,Forensics,216,6.23
Epajip Oxy,Pwn,232,5.14
Ylimofaja Ylivylyl,Pwn,213,9.4
Exyjoxi Avyvav,Pentest,234,7.72
Edu Ekimicuhyz,Teapotting,215,5.62
Ixez Oxic,Cybersec,202,5.92
Ylevu Ilahahohup,Reverse,243,9.71
Ygevymugoh Inazadyn,Pwn,226,5.93
Amejejylaf Umywyza,Pentest,219,8.04
Ufenofys Uhydurucej,Teapotting,232,5.15
Yxisyfi Ibypugobix,Forensics,222,4.51
Yfifu Iwevo,Teapotting,204,6.14
Ekyc Oxotesori,Teapotting,215,9.97
Ezacasyj Ukuwumujuj,Forensics,259,6.11
Esajekab Egamute,Pentest,234,6.35
Uhy Ixazyfo,Pwn,212,7.97
Inikubys Izureqo,Forensics,218,4.25
Ise Yvunynav,Cybersec,231,9.34
Acitik Apequ,Forensics,249,6.02
Uwuf Ovusav,Pwn,234,5.12
Olin Afez,Forensics,219,9.46
Okuhyq Iqig,Pentest,229,8.03
Idocac Avuseludi,Teapotting,240,6.44
Ibuw Idusevinyf,Reverse,249,5.52
Ajar Oqylymelig,Forensics,232,7.9
Exof Ohise,Forensics,259,4.29
Ehequh Obu,Teapotting,226,8.05
Yjyqyhepo Uzybuf,Cybersec,211,8.84
Emeqylyna Usukex,Forensics,203,9.41
Ywikorunas Adezuqevi,Forensics,244,6.93
Orotugiz Ozytor,Forensics,253,5.65
Upuga Atahazo,Reverse,214,9.44
Ytifocigi Uzixir,Forensics,232,4.75
Ivotexijy Alyweqiz,Pentest,259,5.43
Uriq Oto,Teapotting,233,6.14
Yry Evadyravy,Cybersec,202,4.65
Ewidosu Elike,Reverse,216,7.8
Ofavekily Esaxop,Teapotting,251,9.39
Azuve Onafoqyvoc,Pentest,253,4.06
Alumefyd Exesikumu,Reverse,252,7.42
Exokafy Ifurucipy,Teapotting,224,5.72
Orijevup Ozymil,Reverse,255,6.09
Agulefud Adeluz,Cybersec,233,5.99
Oqu Ixa,Teapotting,202,8.55
Ynajy Oxytixu,Forensics,246,7.84
Unocu Ywymo,Forensics,243,4.41
Ebyfaxy Aqyxel,Teapotting,218,7.33
Okemavyxi Icacaxy,Reverse,221,7.35
Avac Ilygyba,Reverse,213,9.88
Atuhuza Yred,Forensics,213,8.1
Enikutol Yfuxiciq,Cybersec,248,4.3
Usan Ykupi,Pwn,241,8.93
Aha Yvewy,Pwn,260,5.04
Avupan Ohazuhacad,Cybersec,204,4.78
Ybymepu Igacoh,Pentest,211,7.11
Italusa Osahuvy,Reverse,226,9.57
Irykuv Ahi,Cybersec,237,8.71
