name,faculty,group,gpa
Avacocawus Ymesy,Reverse,207,6.46
Ytukicuz Yhe,Forensics,246,5.03
Obuke Enove,Pwn,213,7.28
Afyja Ysolycehiq,Cybersec,256,4.59
Ilyfifako Yru,Reverse,223,4.63
Esuzene Acucuvuxo,Reverse,252,9.46
Ygaj Ecac,Cybersec,226,7.07
Oxalywi Yzudu,Reverse,253,9.26
Atuvehax Yluve,Pentest,209,5.19
Ovo Yqor,Teapotting,216,9.91
Oqyjywomuw Abywuby,Pentest,255,7.69
Edycyjewam Azyku,Cybersec,202,6.8
Aly Azeziwawy,Pwn,220,6.15
Ykoziqizyq Ykidecav,Pentest,218,9.89
Ydybi Ygu,Reverse,205,4.02
Ywehafydow Ymoku,Pwn,252,9.15
Yzeduw Ufe,Pwn,203,5.15
Ivedox Yzydi,Pwn,249,8.31
Akysoke Ygydenozir,Forensics,246,4.75
Ivon Egez,Pwn,258,5.33
Uvefutek Anek,Pentest,257,5.32
Opehuh Izamudeq,Pentest,252,7.84
Azasuqorut Yliqovi,Teapotting,208,6.45
Ibujo Oxe,Teapotting,208,8.88
Icowibeve Ahigoki,Cybersec,211,9.72
Adofu Ahyzocy,Reverse,260,7.3
Ehehypunaj Ocyluguto,Teapotting,255,8.31
Ujyri Ojexykup,Forensics,211,9.7
Utuvipym Aqyzubuze,Pentest,228,7.07
Uxokoten Ykereli,Forensics,210,6.32
Ykito Ukyr,Pentest,221,5.84
Irynoquz Ecake,Cybersec,239,9.07
Eloqavaqyz Orukoq,Pentest,214,5.12
Oly Ixyhu,Pwn,257,4.79
Irysyqepoc Imaf,Teapotting,232,8.39
Amugogoz Ezidykego,Reverse,205,6.26
Otesytudym Ary,Cybersec,210,9.22
Ubaxuloho Ipa,Reverse,216,4.46
Afuwyz Ypumizuce,Cybersec,232,6.07
Otigeriz Eqobyhifif,Forensics,239,5.4
Awuluqyra Icicaxi,Teapotting,215,8.16
Acexujycaz Udodohy,Pwn,203,4.56
Ibis Uwukif,Reverse,257,4.23
Ydi Ecabuhiro,Pwn,206,9.58
Yxered Aqywub,Pwn,205,5.68
Omoza Arurab,Reverse,216,6.55
Amaw Uxymixop,Cybersec,232,8.64
Axygyvuky Apuqeca,Teapotting,249,8.56
Imurela Ukoxa,Reverse,240,8.91
Ena Ytemuxu,Pwn,257,9.94
Imecy Osofefowy,Teapotting,224,6.91
Ebery Uqizafy,Pwn,238,7.91
Omumipil Yvubozuw,Pentest,241,7.2
Yfisunyq Obyl,Teapotting,233,6.89
Equzogo Ogenan,Reverse,249,7.65
Igyhipih Ywehakaly,Pwn,246,5.43
Atixono Yluho,Reverse,250,7.0
Ogopahy Esydyb,Forensics,243,6.33
Ydaloz Iles,Forensics,239,9.36
Yxar Urineqamy,Pentest,226,4.53
Ojyza Otegu,Forensics,211,8.27
Uwizixuwyk Ytykyvujyc,Pentest,200,5.64
Ecahamuzyn Ivyn,Pwn,226,6.92
Efevyleh Uzahe,Pwn,216,7.13
Ora Ywosecupix,Reverse,212,9.48
Ujilaz Oqekexolo,Pwn,251,9.07
Usycokeb Asijy,Pentest,246,8.91
Usedyhot Odotugi,Pwn,231,8.55
Onadire Yfaqa,Forensics,230,7.05
Yfahude Eryzetarys,Cybersec,256,5.47
Uruf Umeno,Forensics,258,4.55
Osur Onuvyjawiw,Forensics,217,5.9
Uladi Itiroho,Reverse,240,7.77
Agudot Oryx,Reverse,230,5.2
Isimeg Ovis,Pwn,221,9.94
Ohu Owygycali,Pwn,205,7.01
Ipufequcoq Izoty,Forensics,211,6.02
Ykufyn Yzepaxaso,Pentest,215,7.16
Ajamazusy Yzevazo,Forensics,229,7.99
Edej Icazuwuz,Pwn,247,7.06
Eqikahidob Iropuder,Pwn,240,9.53
Akiwehy Ykewugacin,Pentest,248,9.37
Iwifor Ale,Teapotting,207,5.4
