name,faculty,group,gpa
Adexeh Epycovu,Teapotting,238,4.00
Afehyzyhuw Ehavyrunub,Cybersec,244,4.00
Agy Evisop,Reverse,248,4.00
Ahurezav Ehixyk,Reverse,223,4.00
Ajycugu Afaci,Teapotting,239,4.00
Alap Ikenadew,Reverse,204,4.00
Amoqajubes Igyzu,Pentest,213,4.00
Aqyxufazo Osabufujo,Cybersec,212,4.00
Awenizok Ygiby,Pwn,218,4.00
Ebatyloh Epa,Pwn,251,4.00
Ebodakud Eqehoc,Forensics,232,4.00
Edyhicaha Opimyk,Cybersec,244,4.00
Egyvisy Uvug,Pwn,252,4.00
Ekaf Oroxo,Teapotting,243,4.00
Ekikumer One,Reverse,248,4.00
Elavas Okox,Pwn,258,4.00
Ele Ara,Pentest,253,4.00
Eluvi Ywyhid,Reverse,241,4.00
Emyzokowu Ygoqy,Teapotting,220,4.00
Enipij Ysoqe,Forensics,239,4.00
Esec Ogabirojop,Forensics,201,4.00
Esudy Ybi,Forensics,214,4.00
Etyq Ixavafape,Forensics,243,4.00
Evopadodek Axodit,Forensics,218,4.00
Evozulusu Uqycyg,Teapotting,200,4.00
Ewapadaza Yrico,Pentest,245,4.00
Exihazib Ibeluvo,Reverse,258,4.00
Ezepen Abupy,Forensics,223,4.00
Idi Ati,Pentest,239,4.00
Igur Yjum,Reverse,210,4.00
Ijinada Odacahyxex,Cybersec,204,4.00
Ijulu Eboro,Forensics,252,4.00
Ikaje Yjo,Reverse,235,4.00
Ilac Uvo,Reverse,208,4.00
Ilirycy Ihihyginax,Reverse,204,4.00
Inyzogytih Ylowi,Cybersec,212,4.00
Iqisi Ihorac,Cybersec,209,4.00
Iro Omimi,Pentest,241,4.00
Itumisoqex Ocazagiwy,Cybersec,247,4.00
Ixijyliluf Usu,Cybersec,225,4.00
Ixumut Ikipa,Reverse,229,4.00
Izoh Ome,Cybersec,253,4.00
Izymecon Ohig,Pwn,204,4.00
Odax Ehy,Cybersec,204,4.00
Odytubabi Iniwep,Reverse,224,4.00
Ogosum Opanaqe,Pwn,212,4.00
Ohupabicaz Ixani,Pwn,205,4.00
Okakadig Yhiqyqek,Pwn,220,4.00
Oly Ocujur,Pentest,202,4.00
Onuku Ugacoses,Forensics,229,4.00
Ovamoxyj Ijysonaw,Reverse,200,4.00
Ucuqitav Omumyti,Pentest,245,4.00
Uderin Olufyxu,Pentest,250,4.00
Ufaji Una,Pentest,222,4.00
Uhuro Ely,Cybersec,237,4.00
Uhuz Ypod,Pentest,210,4.00
Ujafapofe Ygecuzigew,Pentest,254,4.00
Unameci Yquwu,Teapotting,252,4.00
Uqanatywef Uporetatat,Reverse,248,4.00
Urequnapy Ywu,Cybersec,244,4.00
Urywo Ibetud,Reverse,229,4.00
Usaq Yjatize,Pwn,224,4.00
Usequne Ucuj,Reverse,206,4.00
Uviso Ibykaxo,Pentest,231,4.00
Uvopiqige Exavyd,Reverse,246,4.00
